,发病部位,名称,就诊科室,概述,疾病用药,疾病自测
60,皮肤,扁平疣(瘊子),中医科,扁平疣是人类乳头瘤病毒引起的皮肤上突出的病变。表面多扁平光滑，无明显不适，好发于青少年面部、手背等处。常呈慢性病变过程，属良性疾病。可以治愈，无严重危害。,"水杨酸软膏,溶菌酶肠溶片,维A酸乳膏",暂无数据
61,皮肤,"剥脱性角质松解症(角层板状出汗不良,手掌脱皮症,汗疱症,汗疹症)",皮肤病科,"剥脱性角质松解症是一种浅表的手足角质剥脱性皮肤病，在儿童中较为常见，可以自愈,但常复发，严重者可有手指皲裂、疼痛，对患儿生活造成一定影响。",暂无数据,暂无数据
62,"鼻,口,全身",白喉,"耳鼻咽喉科,传染科",白喉（diphtheria）是白喉杆菌引起的急性传染病。其临床特征是咽、喉、鼻等处假膜形成，和全身中毒症状如发热、乏力、恶心呕吐、头痛等，严重者可并发心肌炎和神经瘫痪。,"复方氯已定含漱液,注射用阿莫西林钠克拉维酸钾,依托红霉素胶囊,依托红霉素颗粒","咽白喉自测,白喉自测"
63,腹部,病毒性肝炎(肝炎),中医科,病毒性肝炎（viralheptitis）是由多种肝炎病毒引起的常见传染病，具有传染性强、传播途径复杂、流行面广泛，发病率较高等特点。临床上主要表现为乏力、食欲减退、恶心、呕吐、肝肿大及肝功能损害，部分病人可有黄疸和发热。有些患者出现荨麻疹、关节痛或上呼吸道症状。病毒性肝炎分甲型、乙型、丙型、丁型和戊型肝炎五种。以往所谓的非甲非乙型肝炎（NANBH）经血行感染者称输血后非甲非乙型肝炎（PT-NANBH），通过粪-口感染的称为肠道传播的非甲非乙型肝炎（ET-NANBH），近年来经分子生物学技术研究，证实上述非甲非乙型肝炎的病原引起病毒性肝炎者有二种类型，前者称丙型肝炎（hepatitisC；HC），后者称戊型肝炎（hepatitisE；HE）。急性肝炎病人大多在6个月内恢复，乙型、丙型和丁型肝炎易变为慢性，少数可发展为肝硬化，极少数呈重症经过。慢性乙型，丙型肝炎与原发性肝细胞癌的发生有密切关系。,"促肝细胞生长素注射液,脱氧核苷酸钠片,杞菊地黄丸,注射用促肝细胞生长素,肌苷胶囊",病毒性肝炎自测
64,下肢,扁平足(平足症),"骨外科,中医科",扁平足主要是由于某些原因使足骨形态异常、肌肉萎缩、韧带挛缩或慢性劳损造成足纵弓塌陷或弹性消失所引起的足痛，又称为平足症。因韧带松弛所致的扁平足好发于青少年，具有遗传倾向。,暂无数据,暂无数据
65,腰部,巴特综合征(弥漫性肾小球旁细胞增生),"肾内科,中医科",巴特综合征是一种难治性疾病。是因肾小球球旁细胞增生，分泌大量的肾素引起的继发性醛固酮增多症候群。临床表现主要为肌无力，周期性麻痹，心律失常，肠麻痹等低钾症状及烦渴，夜尿增多，骨质疏松等。,暂无数据,暂无数据
66,腰部,膀胱结石,泌尿外科,膀胱结石可分为原发性和继发性两种，主要发生于男性。原发性膀胱结石多由营养不良所致，现在除了一些边远山区多发于婴幼儿外，已不多见。继发性膀胱结石主要继发于良性前列腺增生症，随着寿命的延长此病也逐渐增多。另外结石容易发生在有尿道狭窄、膀胱憩室、异物包括长期引流导管和神经原性膀胱功能障碍等。原发性膀胱结石多为单个性，呈卵圆形，继发性膀胱结石多为草酸钙、磷酸钙和尿酸的混合性，为多个较小结石。,"肾石通冲剂,净石灵胶囊,排石颗粒",膀胱结石自测
67,鼻,鼻炎,"五官科,耳鼻咽喉科", 鼻炎(Rhinitis)指的是鼻腔粘膜和粘膜下组织的炎症。表现为充血或者水肿，患者经常会出现鼻塞，流清水涕，鼻痒，喉部不适，咳嗽等症状。鼻腔分泌的稀薄液体样物质称为鼻涕或者鼻腔分泌物，其作用是帮助清除灰尘，细菌以保持肺部的健康。通常情况下，混合细菌和灰尘的鼻涕后吸至咽喉并最终进入胃内，因其分泌量很少，一般不会引起人们的注意。当鼻内出现炎症时，鼻腔内可以分泌大量的鼻涕，并可以因感染而变成黄色，流经咽喉时可以引起咳嗽，鼻涕量十分多时还可以经前鼻孔流出。 ,暂无数据,暂无数据
68,"腹部,腰部,盆腔,生殖部位,男性股沟",膀胱与尿道结石(石淋，砂淋),"肾内科,男科,传染科,皮肤性病科",泌尿系结石是中医称其为“石淋”或“砂淋”。膀胱及尿道结石属于下尿路结石，大部分是由继发性因素引起。,暂无数据,暂无数据
69,盆腔,膀胱外翻,"泌尿外科,男科",膀胱外翻畸形，系生后即发现在下腹壁正中有程度不同的腹壁缺损，致使膀胱自内翻出。严重者膀胱全部外翻，两侧输尿管口外露，耻骨联合缺损，并有严重的尿道上裂形成。,暂无数据,暂无数据
70,腹部,贲门癌,"消化内科,外科,心胸外科,肿瘤科",贲门癌在我国食管癌高发区的发病率也很高，据这些地区及肿瘤研治机构的统计，食管癌与贲门癌的比例约为2∶1。正确的贲门癌定义是发生在胃贲门部，也就是食管胃交界线下约2cm范围内的腺癌。它是胃癌的特殊类型，应和食管下段癌区分。但是它又与其他部位的胃癌不同，具有自己的解剖学组织学特性和临床表现，独特的诊断和治疗方法以及较差的外科治疗效果。,食道平散,暂无数据
71,口,"扁平苔癣(扁平红苔癣,紫癜风)",口腔科,扁平苔癣是一种病变表浅、发展缓慢的皮肤粘膜病。可单独或同时发生于皮肤、口腔粘膜。多见于中年妇女。,"维胺酯胶囊,醋酸曲安奈德尿素乳膏,维生素C片",暂无数据
72,全身,B链球菌群感染(无乳链球菌感染),"呼吸内科,肾内科,风湿免疫科,儿科", 有人报告，根据美国的观察，B链球菌群感染率正在上升，原因还不清楚。近年来有多次报告本组菌引起的新生儿感染，引起了人们的重视。根据表面抗原的不同可分为九个亚型，即Ⅰa，Ⅰb，Ⅱ，Ⅲ，Ⅳ，Ⅴ，Ⅵ，Ⅶ和Ⅷ。在血碟上可呈甲型、乙型或丙型溶血反应，溶血菌株所产生的链球菌溶血素与A组菌的O与S不同，无抗原性。按照生化分类法，此群菌为无乳链球菌(S.agalactiae)。 ,暂无数据,暂无数据
73,腹部,暴发性肝炎样综合征,"内科,消化内科",暴发性肝炎样（FulminantHepatitisLike）综合征，系指一组非病毒性肝炎而具有暴发性肝炎样表现的综合症。其中包括妊娠急性脂肪肝、四环素致中毒性肝炎及Reye综合征。但如能治愈，肝脏可完全恢复正常。此组病征表现有急性起病、重度恶心、呕吐及腹胀，出血倾向，意识障碍等症状。,"马洛替酯缓释片,脱氧核苷酸钠片,联苯双酯滴丸,肌苷胶囊",暂无数据
74,"腹部,腰部,全身",丙型肝炎病毒感染与肾小球肾炎(非甲非乙型肝炎病毒感染与肾小球肾炎，非甲非乙型肝炎病毒感染与肾小球性肾炎),"消化内科,肾内科",丙型肝炎病毒(hepatitisCvirus，HCV)是一单链RNA病毒，首先发现于1989年，现估计全球约有100×106感染者，主要经血制品传播及使用静脉毒品传播。近10年对HCV感染与肾小球疾患间的关系认识逐渐增多，现认为HCV相关的肾损害主要包括：冷球蛋白血症性膜增生性肾小球肾炎(cryoglobulinemicMPGN)，非冷球蛋白血症性膜增生性肾小球肾炎(noncryoglobulinemicMPGN)以及膜性肾病(membranousnephropathy，MN)。,暂无数据,暂无数据
75,胸部,奔豚气,心血管内科,奔豚是指病人自觉有气从少腹上冲胸咽的一种病证。由于气冲如豚之奔突，故名奔豚气。西医的神经官能症、冠心病等有类似症状者。,暂无数据,暂无数据
76,"腹部,全身",巴贝虫病(梨浆虫病),"消化内科,传染科,急诊科",巴贝虫病(babesiosis，piroplasmosis)是由巴贝虫属(Babesia)的红细胞内寄生的血液原虫通过蜱类媒介感染所致人兽共染的寄生虫病。不同种类原虫可对相应的脊椎动物致病，故有牛、马、犬、羊、猪等各种巴贝虫病。人巴贝虫病，急性发病时颇似疟疾，临床以间歇热、脾大、黄疸、血管内溶血和血红蛋白尿等为特征。,暂无数据,暂无数据
77,"皮肤,全身",疤痕,"外科,小儿科",  疤痕是一个很笼统的概念，它是各种创伤后所引起的正常皮肤组织的外观形态和组织病理学的改变的统称。它是人体创伤后，在伤口或创面自然愈合过程中的一种正常的、必然的生理反应，也是创伤愈合过程的必然结果。疤痕的本质是一种不具备正常皮肤组织结构及生理功能的，失去正常组织活力的、异常的、不健全的组织。疤痕不仅破坏了体表美，还可妨碍相关组织或器官的生理功能，甚至导致畸形。,暂无数据,暂无数据
78,皮肤,变应性血管炎(白细胞碎裂性血管炎),"心血管内科,中医科",变应性血管炎（Allergicvasculitis）是比较常见的一种疾病，其组织病理有白细胞核破碎的血管炎表现，有皮肤损伤，也有多个内脏损伤。本病有许多名称，为了防止混乱，Ruiter认为本病称为变应性血管炎比较合适，本名称体现了由变态反应引起血管的炎性改变。本病轻重不一，轻者仅有皮损数周可愈，严重者可有多脏器受损，甚至危及生命。,"盐酸小檗胺片,利可君片,维生素B6片",暂无数据
79,胸部,病态窦房结综合征(病窦综合征),"心血管内科,心胸外科",病态窦房结综合征简称病窦综合征，又称窦房结功能不全。是由于窦房结或其周围组织原器质性病变导致窦房结冲动形成障碍，或窦房结至心房冲动传导障碍所致的多种心律失常和多种症状的综合病征。主要特征为窦性心动过缓，当合并快速性心律失常反复发作时称为心动过缓--心动过速综合征。大多于40岁以上出现症状。,暂无数据,暂无数据
80,皮肤,瘢痕疙瘩(疤痕),皮肤病科,瘢痕疙瘩(keloid)是皮肤损伤愈合过程中，胶原合成代谢机能失去正常的约束控制，持续处于亢进状态，以致胶原纤维过度增生的结果，又称为结缔组织增生症，在中医上称为蟹足肿或巨痕症，它表现为隆出正常皮肤，形状不一，色红质硬的良性肿块。,"多磺酸粘多糖乳膏,鱼石脂软膏",暂无数据
81,,补牙,"五官科,口腔科", ,暂无数据,暂无数据
82,上肢,臂丛神经损伤(臂丛损伤),"骨外科,急诊科,小儿科",;臂丛神经炎(paralytic;brachial;plexitis)又称神经痛性肌萎缩，病因未明，可能与感染、变态反应等有关。主要表现以肩胛带肌为主的疼痛、无力和肌萎缩。发病急，预后好。颈椎骨关节病引起的臂丛损害不包括在内。,暂无数据,暂无数据
83,腰部,膀胱炎,"肾内科,中医科",膀胱炎是一种常见的尿路感染性疾病，约占尿路感染总数的50%～70%。因细菌感染而引起。其致病菌多数为大肠杆菌。通常多发生于女性，因为女性的尿道比男性的尿道短，又接近肛门，大肠杆菌易侵人。膀胱炎最典型的症状是即尿频、尿急、尿痛甚至有急迫性尿失禁，可以有血尿和脓尿。,"盐酸黄酮哌酯胶囊,盐酸洛美沙星片,硫酸依替米星注射液,头孢克肟片,盐酸黄酮哌酯片","慢性膀胱炎自测,急性膀胱炎自测"
84,全身,铋中毒,"消化内科,急诊科",误服大量、医疗用量过大或长期应用铋剂均可引起中毒。小儿铋中毒（bismuthpoisoning）大多由于医治腹泻时应用多量次硝酸铋所引起。由于肠道细菌作用，次硝酸铋可以氧化为亚硝酸盐，故可出现铋和亚硝酸盐双重中毒症状。小儿口服次硝酸铋的致死量约为3～5g。静脉或肌注可溶性铋盐过量可以导致急性中毒。不溶性铋盐（如次碳酸铋等）常为治疗胃肠道疾病的内服药物或外用制剂，虽然被吸收量很少，但若大量或长期应用亦可导致铋中毒。哺乳期妇女由于乳头破裂而多次涂拭鱼肝油铋剂，婴儿可因吮入多量引起中毒。,暂无数据,"中毒自测,环境中毒自测"
85,"颈部,上肢,背部",臂丛神经痛,"神经内科,中医科",臂丛神经痛是指由颈5至胸1的神经前支组成的臂丛神经的各部受损时，产生其支配范围内的疼痛的疾病。,"萘普生缓释片,解热止痛散,赖氨匹林散,萘普生片,萘普生胶囊",暂无数据
86,腹部,白线疝(上腹疝),"外科,肛肠外科",经腹白线突出的疝称为白线疝，也名腹上疝。腹白线由两侧腹直肌鞘于腹正中线相互交织而成。脐上白线较宽，脐下白线狭而坚固。因此白线疝好发于脐上，多系腹白线发育欠佳或有孔隙所致。,暂无数据,暂无数据
